INSTNM,CITY,STABBR,INSTURL,LOCALE,MENONLY,WOMENONLY,SATVR75,SATMT75,SATWR75,ACTCM75,SAT_AVG,GRAD_DEBT_MDN
Stevens-The Institute of Business & Arts,Saint Louis,MO,www.siba.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,32620
Poplar Bluff Technical Career Center,Poplar Bluff,MO,www.poplarbluffschools.net,33,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Ranken Technical College,Saint Louis,MO,www.ranken.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,13970
Research College of Nursing,Kansas City,MO,www.researchcollege.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,15000
Rockhurst University,Kansas City,MO,www.rockhurst.edu,11,0,0,640,650,NULL,28,1164,19950
Rolla Technical Institute/Center,Rolla,MO,rolla.k12.mo.us,33,0,0,NULL,NULL,NULL,NULL,NULL,10000
Everest College-Springfield,Springfield,MO,www.everest.edu/campus/springfield,12,0,0,NULL,NULL,NULL,NULL,NULL,23534
Saint Louis University,Saint Louis,MO,www.slu.edu,11,0,0,650,670,NULL,30,1239,25500
Salem College of Hairstyling,Rolla,MO,www.centralandsalemcolleges.com,33,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Sanford-Brown College-Fenton,Fenton,MO,www.sanford-browncollege.com,21,0,0,NULL,NULL,NULL,NULL,NULL,19785.5
American College of Hair Design Inc,Sedalia,MO,www.americancollegeofhairdesign.com,33,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Sikeston Career and Technology Center,Sikeston,MO,www.sikestonr6.org,32,0,0,NULL,NULL,NULL,NULL,NULL,9500
Saint Louis Christian College,Florissant,MO,www.stlchristian.edu,21,0,0,NULL,NULL,NULL,24,990,27000
St Louis College of Pharmacy,Saint Louis,MO,www.stlcop.edu,11,0,0,620,710,NULL,28,1188,19349.5
Saint Louis Community College,Saint Louis,MO,www.stlcc.edu/,11,0,0,NULL,NULL,NULL,NULL,NULL,7500
Saint Paul School of Theology,Leawood,KS,www.spst.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Southwest Baptist University,Bolivar,MO,www.sbuniv.edu,32,0,0,600,620,NULL,26,1070,20990
Missouri State University-West Plains,West Plains,MO,www.wp.missouristate.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,8750
Saint Luke's College of Health Sciences,Kansas City,MO,www.saintlukescollege.edu/,11,0,0,NULL,NULL,NULL,NULL,NULL,24405
St Louis College of Health Careers-St Louis,Saint Louis,MO,www.slchc.com,11,0,0,NULL,NULL,NULL,NULL,NULL,9500
State Fair Community College,Sedalia,MO,www.sfccmo.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,10663
Stephens College,Columbia,MO,www.stephens.edu,12,0,1,585,527,542,26,1064,27000
Southeast Missouri State University,Cape Girardeau,MO,www.semo.edu,13,0,0,593,620,NULL,25,1050,22105
Missouri State University-Springfield,Springfield,MO,www.missouristate.edu,12,0,0,610,600,NULL,26,1090,22313
Three Rivers Community College,Poplar Bluff,MO,www.trcc.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,10000
North Central Missouri College,Trenton,MO,www.ncmissouri.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,10202
Truman Medical Center School of Nurse Anesthesia,Kansas City,MO,crna.tmchost.com/,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Kansas City University of Medicine and Biosciences,Kansas City,MO,www.kcumb.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Washington University in St Louis,Saint Louis,MO,www.wustl.edu,21,0,0,770,800,770,34,1478,20500
Webster University,Saint Louis,MO,www.webster.edu,21,0,0,NULL,590,NULL,27,1105,25000
Wentworth Military Academy and College,Lexington,MO,www.wma.edu,32,0,0,NULL,NULL,NULL,NULL,NULL,12000
Westminster College,Fulton,MO,WWW.WESTMINSTER-MO.EDU,32,0,0,580,613,NULL,27,1114,27000
William Jewell College,Liberty,MO,www.jewell.edu,21,0,0,570,620,NULL,28,1141,26625
William Woods University,Fulton,MO,www.williamwoods.edu,32,0,0,560,560,525,26,1042,22282.5
Academy of Cosmetology,Bozeman,MT,www.academycosmetology.com,33,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Blackfeet Community College,Browning,MT,bfcc.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Butte Academy of Beauty Culture,Butte,MT,butteacademyofbeauty.ipage.com/,33,0,0,NULL,NULL,NULL,NULL,NULL,9500
Highlands College of Montana Tech,Butte,MT,www.mtech.edu/,33,0,0,NULL,NULL,NULL,NULL,NULL,20667
Crevier's Academy of Cosmetology Arts,Kalispell,MT,www.crevierschool.com,33,0,0,NULL,NULL,NULL,NULL,NULL,12000
Carroll College,Helena,MT,www.carroll.edu,33,0,0,630,620,600,28,1133,27000
Dawson Community College,Glendive,MT,www.dawson.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,9459.5
Chief Dull Knife College,Lame Deer,MT,cdkc.edu,43,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Montana State University-Billings,Billings,MT,www.msubillings.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,17450
Flathead Valley Community College,Kalispell,MT,www.fvcc.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,13000
Aaniiih Nakoda College,Harlem,MT,www.ancollege.edu,43,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Fort Peck Community College,Poplar,MT,www.fpcc.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Great Falls College Montana State University,Great Falls,MT,www.gfcmsu.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
University of Great Falls,Great Falls,MT,www.ugf.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,24000
Helena College University of Montana,Helena,MT,www.umhelena.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,19000
Little Big Horn College,Crow Agency,MT,www.lbhc.edu/,43,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Miles Community College,Miles City,MT,www.milescc.edu/,33,0,0,NULL,NULL,NULL,NULL,NULL,12000
Modern Beauty School Inc,Missoula,MT,modernbeautyschool.org,13,0,0,NULL,NULL,NULL,NULL,NULL,14886
Montana Tech of the University of Montana,Butte,MT,www.mtech.edu,33,0,0,590,630,560,27,1125,20667
Montana State University,Bozeman,MT,www.montana.edu/,33,0,0,630,630,610,28,1128,24854
The University of Montana,Missoula,MT,www.umt.edu,13,0,0,610,590,580,26,1075,23431
Montana State University-Northern,Havre,MT,www.msun.edu,33,0,0,500,550,495,22,917,15873
Rocky Mountain College,Billings,MT,rocky.edu,12,0,0,560,560,585,26,1031,25626
Salish Kootenai College,Pablo,MT,www.skc.edu,42,0,0,NULL,NULL,NULL,NULL,NULL,9851
The University of Montana-Western,Dillon,MT,www.umwestern.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,21672
La'James International College,Fremont,NE,www.ljic.edu,32,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Bellevue University,Bellevue,NE,www.bellevue.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,17188
Clarkson College,Omaha,NE,www.clarksoncollege.edu/,11,0,0,NULL,NULL,NULL,24,990,26000
Bryan College of Health Sciences,Lincoln,NE,www.bryanhealthcollege.edu/bcohs/,11,0,0,NULL,NULL,NULL,24,1050,24280.5
Central Community College,Grand Island,NE,www.cccneb.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,7250
Chadron State College,Chadron,NE,www.csc.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,18550
College of Hair Design-Downtown,Lincoln,NE,collegeofhairdesign.com,11,0,0,NULL,NULL,NULL,NULL,NULL,14499
Concordia University-Nebraska,Seward,NE,www.cune.edu,32,0,0,540,520,NULL,27,1067,26000
Creighton University,Omaha,NE,www.creighton.edu,11,0,0,630,665,640,29,1200,23250
Doane University-Arts & Sciences,Crete,NE,www.doane.edu,32,0,0,530,520,510,25,1060,22158.5
Grace University,Omaha,NE,https://www.graceuniversity.edu/,11,0,0,475,505,428,27,1064,17625
Hastings College,Hastings,NE,www.hastings.edu,32,0,0,560,570,NULL,27,1079,27000
CHI Health School of Radiologic Technology,Omaha,NE,www.alegent.com,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Joseph's College Cosmetology,Lincoln,NE,josephscollege.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,17515.5
University of Nebraska at Kearney,Kearney,NE,www.unk.edu,32,0,0,520,550,NULL,25,1049,20700
Kaplan University-Lincoln Campus,Lincoln,NE,www.kaplanuniversity.edu/lincoln-nebraska.aspx,11,0,0,NULL,NULL,NULL,NULL,NULL,29493
Nebraska Methodist College of Nursing & Allied Health,Omaha,NE,www.methodistcollege.edu,11,0,0,NULL,NULL,NULL,26,1090,24688
Metropolitan Community College Area,Omaha,NE,www.mccneb.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,8272.5
Mid-Plains Community College,North Platte,NE,www.mpcc.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,7670
Midland University,Fremont,NE,www.midlandu.edu,32,0,0,NULL,NULL,NULL,26,1010,25250
Nebraska Christian College,Papillion,NE,nechristian.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
University of Nebraska at Omaha,Omaha,NE,www.unomaha.edu,11,0,0,NULL,NULL,NULL,26,1050,20000
Kaplan University-Omaha Campus,Omaha,NE,www.kaplanuniversity.edu/omaha-nebraska.aspx?wid=1,11,0,0,NULL,NULL,NULL,NULL,NULL,29493
Nebraska Indian Community College,Macy,NE,www.thenicc.edu,42,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
University of Nebraska Medical Center,Omaha,NE,www.unmc.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,17748
Nebraska Wesleyan University,Lincoln,NE,www.nebrwesleyan.edu/,11,0,0,600,650,NULL,27,1124,27000
University of Nebraska-Lincoln,Lincoln,NE,www.unl.edu/,11,0,0,640,660,NULL,28,1146,21500
Northeast Community College,Norfolk,NE,www.northeast.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,11675.5
Peru State College,Peru,NE,www.peru.edu,42,0,0,NULL,NULL,NULL,NULL,NULL,20967
College of Saint Mary,Omaha,NE,WWW.CSM.EDU,11,0,1,NULL,NULL,NULL,NULL,NULL,26041.5
Southeast Community College Area,Lincoln,NE,www.southeast.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,11294
Union College,Lincoln,NE,www.ucollege.edu,11,0,0,NULL,570,570,25,1030,27000
Vatterott College-Spring Valley,Omaha,NE,www.vatterott.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,20000
Nebraska College of Technical Agriculture,Curtis,NE,NCTA.UNL.EDU,43,0,0,NULL,NULL,NULL,NULL,NULL,21500
Wayne State College,Wayne,NE,https://www.wsc.edu/,32,0,0,NULL,NULL,NULL,NULL,NULL,20500
Regional West Medical Center School of Radiologic Technology,Scottsbluff,NE,www.rwmc.net/sort,33,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Western Nebraska Community College,Scottsbluff,NE,www.wncc.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,7222.5
York College,York,NE,www.york.edu/,33,0,0,NULL,510,530,23,970,26540
Academy of Hair Design-Las Vegas,Las Vegas,NV,www.ahdvegas.com/,11,0,0,NULL,NULL,NULL,NULL,NULL,9500
Career College of Northern Nevada,Sparks,NV,www.ccnn.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,14020.5
College of Southern Nevada,Las Vegas,NV,www.csn.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,10500
The Art Institute of Las Vegas,Henderson,NV,www.ailv.artinstitutes.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,22141.5
Everest College-Henderson,Henderson,NV,www.everest.edu/campus/henderson,11,0,0,NULL,NULL,NULL,NULL,NULL,11833
Marinello Schools of Beauty-Las Vegas,Las Vegas,NV,www.marinello.com,11,0,0,NULL,NULL,NULL,NULL,NULL,9796.5
University of Nevada-Las Vegas,Las Vegas,NV,www.unlv.edu/,12,0,0,550,560,530,24,1000,19000
University of Nevada-Reno,Reno,NV,www.unr.edu/,12,0,0,590,600,570,26,1081,18733
Great Basin College,Elko,NV,www.gbcnv.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,12735.5
Marinello Schools of Beauty-Reno,Reno,NV,www.marinello.com,12,0,0,NULL,NULL,NULL,NULL,NULL,9500
Sierra Nevada College,Incline Village,NV,www.sierranevada.edu,32,0,0,560,540,NULL,27,1010,23000
Truckee Meadows Community College,Reno,NV,www.tmcc.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,11591
Western Nevada College,Carson City,NV,www.wnc.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,8500
Colby-Sawyer College,New London,NH,www.colby-sawyer.edu,42,0,0,NULL,NULL,NULL,NULL,NULL,27000
Continental Academie of Hair Design-Hudson,Hudson,NH,continentalacademie.com,22,0,0,NULL,NULL,NULL,NULL,NULL,9075
Daniel Webster College,Nashua,NH,www.dwc.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,26999
Dartmouth College,Hanover,NH,www.dartmouth.edu,33,0,0,780,770,790,34,1444,12000
Empire Beauty School-Laconia,Laconia,NH,www.empirebeautyschools.com,32,0,0,NULL,NULL,NULL,NULL,NULL,11114
Empire Beauty School-Somersworth,Somersworth,NH,www.empirebeautyschools.com,23,0,0,NULL,NULL,NULL,NULL,NULL,9833
Franklin Pierce University,Rindge,NH,www.franklinpierce.edu,41,0,0,520,530,510,22,949,27000
University of New Hampshire-School of Law,Concord,NH,law.unh.edu,31,0,0,NULL,NULL,NULL,NULL,NULL,27000
Mount Washington College,Manchester,NH,www.mountwashington.edu/index.aspx,12,0,0,NULL,NULL,NULL,NULL,NULL,16465
Keene Beauty Academy,Keene,NH,WWW.KEENEBEAUTYACADEMY.edu,32,0,0,NULL,NULL,NULL,NULL,NULL,9833
Northeast Catholic College,Warner,NH,www.northeastcatholic.edu,42,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School,Bedford,NH,michaels.paulmitchell.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,9833
New England College,Henniker,NH,www.nec.edu/,42,0,0,NULL,NULL,NULL,NULL,NULL,26000
New England School of Hair Design,West Lebanon,NH,www.neshd.org,33,0,0,NULL,NULL,NULL,NULL,NULL,9833
Southern New Hampshire University,Manchester,NH,www.snhu.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,19803
New Hampshire Institute for Therapeutic Arts,Hudson,NH,www.nhita.com,22,0,0,NULL,NULL,NULL,NULL,NULL,8180
University of New Hampshire-Main Campus,Durham,NH,www.unh.edu,23,0,0,590,610,600,27,1104,27000
Keene State College,Keene,NH,www.keene.edu,32,0,0,530,530,530,NULL,965,26000
University of New Hampshire at Manchester,Manchester,NH,manchester.unh.edu,12,0,0,550,550,540,NULL,1010,27000
Plymouth State University,Plymouth,NH,www.plymouth.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,27000
NHTI-Concord's Community College,Concord,NH,www.nhti.edu,31,0,0,NULL,NULL,NULL,NULL,NULL,16035.5
White Mountains Community College,Berlin,NH,www.wmcc.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,15837
River Valley Community College,Claremont,NH,www.rivervalley.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,17625
Lakes Region Community College,Laconia,NH,www.lrcc.edu,32,0,0,NULL,NULL,NULL,NULL,NULL,12750
Manchester Community College,Manchester,NH,www.mccnh.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Nashua Community College,Nashua,NH,www.nashuacc.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,14052
Great Bay Community College,Portsmouth,NH,www.greatbay.edu,23,0,0,NULL,NULL,NULL,NULL,NULL,14000
Paul Mitchell the School-Portsmouth,Portsmouth,NH,portsmouth.paulmitchell.edu/,23,0,0,NULL,NULL,NULL,NULL,NULL,13000
Rivier University,Nashua,NH,www.rivier.edu,13,0,0,520,530,520,22,962,25500
Saint Anselm College,Manchester,NH,www.anselm.edu,22,0,0,NULL,NULL,NULL,NULL,NULL,27000
St Joseph School of Nursing,Nashua,NH,www.sjson.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,15750
Granite State College,Concord,NH,www.granite.edu,31,0,0,NULL,NULL,NULL,NULL,NULL,15778
Thomas More College of Liberal Arts,Merrimack,NH,www.thomasmorecollege.edu,22,0,0,NULL,NULL,NULL,NULL,NULL,26275
Eastwick College-Hackensack,Hackensack,NJ,www.eastwickcollege.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,12519
Atlantic Cape Community College,Mays Landing,NJ,www.atlantic.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,10005
Fortis Institute-Wayne,Wayne,NJ,fortisinstitute.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,10305
Bergen Community College,Paramus,NJ,www.bergen.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,9500
Berkeley College-Woodland Park,Woodland Park,NJ,www.BerkeleyCollege.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,15517
Beth Medrash Govoha,Lakewood,NJ,NULL,13,1,0,NULL,NULL,NULL,NULL,NULL,5500
Bloomfield College,Bloomfield,NJ,www.bloomfield.edu/,21,0,0,450,460,NULL,17,810,30500
Brookdale Community College,Lincroft,NJ,www.brookdalecc.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,9950
Rowan College at Burlington County,Pemberton,NJ,www.rcbc.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,9750
Caldwell University,Caldwell,NJ,www.caldwell.edu,21,0,0,520,550,520,23,950,26040
Camden County College,Blackwood,NJ,www.camdencc.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,9022
Centenary College,Hackettstown,NJ,www.centenarycollege.edu,21,0,0,520,520,510,21,926,25437.5
Adult and Continuing Education-BCTS,Hackensack,NJ,bcts.bergen.org/index.php/adult-ed-homepage,21,0,0,NULL,NULL,NULL,NULL,NULL,3500
Branford Hall Career Institute-Parsippany,Parsippany,NJ,NULL,21,0,0,NULL,NULL,NULL,NULL,NULL,9445
Lincoln Technical Institute-Edison,Edison,NJ,www.lincolnedu.com/campus/edison-nj,21,0,0,NULL,NULL,NULL,NULL,NULL,9500
American Institute-Clifton,CLIFTON,NJ,www.americaninstitute.com,21,0,0,NULL,NULL,NULL,NULL,NULL,12335
Empire Beauty School-Ocean,Ocean,NJ,www.empire.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,9833
Cooper Health System Center for Allied Health Education,Camden,NJ,www.cooperhealth.edu/allied-health,13,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
County College of Morris,Randolph,NJ,WWW.CCM.EDU,21,0,0,NULL,NULL,NULL,NULL,NULL,9500
Cumberland County College,Vineland,NJ,www.cccnj.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,15500
Divers Academy International,ERIAL,NJ,www.diversacademy.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,7307
Drake College of Business-Elizabeth,Elizabeth,NJ,www.drakecollege.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,9500
Drew University,Madison,NJ,www.drew.edu,21,0,0,620,600,610,28,1118,27000
duCret School of Arts,Plainfield,NJ,WWW.DUCRET.EDU,21,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Lincoln Technical Institute-South Plainfield,South Plainfield,NJ,www.lincolnedu.com/campus/south-plainfield-nj,21,0,0,NULL,NULL,NULL,NULL,NULL,11730
Essex County College,Newark,NJ,www.essex.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Empire Beauty School-Union,Union,NJ,www.empire.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,9833
Fairleigh Dickinson University-Metropolitan Campus,Teaneck,NJ,www.fdu.edu,21,0,0,520,530,NULL,25,944,26250
Felician University,Lodi,NJ,www.felician.edu,21,0,0,470,490,480,19,870,25000
Fairleigh Dickinson University-College at Florham,Madison,NJ,www.fdu.edu,21,0,0,560,570,NULL,26,1031,26250
Hohokus School of Trade and Technical Sciences,Paterson,NJ,www.hohokus.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,9662
Georgian Court University,Lakewood,NJ,georgian.edu/,13,0,0,510,540,500,NULL,945,25700
Rowan University,Glassboro,NJ,www.rowan.edu,21,0,0,580,630,580,27,1103,21500
Rowan College at Gloucester County,Sewell,NJ,www.rcgc.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,9725
Empire Beauty School-Cherry Hill,Cherry Hill,NJ,www.empire.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,9768.5
Harris School of Business-Cherry Hill Campus,Cherry Hill,NJ,www.harrisschool.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,8775
Eastwick College-Ramsey,Ramsey,NJ,www.eastwickcollege.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,15167
Holy Name Medical Center School of Nursing,Teaneck,NJ,www.schoolofnursing.info,21,0,0,NULL,NULL,NULL,NULL,NULL,17250
Hudson County Community College,Jersey City,NJ,www.hccc.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,8795.5
New Jersey City University,Jersey City,NJ,www.njcu.edu,12,0,0,480,500,NULL,NULL,890,17500
Joe Kubert School of Cartoon and Graphic Art,Dover,NJ,kubertschool.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Kean University,Union,NJ,www.kean.edu,21,0,0,490,510,NULL,22,907,24500
Harris School of Business-Voorhees Campus,Voorhees,NJ,www.harrisschool.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,8331
Lincoln Technical Institute-Union,Union,NJ,www.lincolnedu.com/campus/union-nj,21,0,0,NULL,NULL,NULL,NULL,NULL,11730
Rizzieri Aveda School for Beauty and Wellness,Voorhees,NJ,www.rizzierischools.com,21,0,0,NULL,NULL,NULL,NULL,NULL,5500
Mercer County Community College,West Windsor,NJ,www.mccc.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,11000
Middlesex County College,Edison,NJ,www.middlesexcc.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,10000
Monmouth University,West Long Branch,NJ,www.monmouth.edu,21,0,0,560,580,580,25,1055,26250
Montclair State University,Montclair,NJ,www.montclair.edu,21,0,0,530,540,540,NULL,975,23000
HackensackUMC Mountainside School of Nursing,Montclair,NJ,www.mhson.com,21,0,0,NULL,NULL,NULL,NULL,NULL,20000
JFK Muhlenberg Harold B & Dorothy A Snyder Schools-School of Nursing,Plainfield,NJ,www.jfkmuhlenbergschools.org,21,0,0,NULL,NULL,NULL,NULL,NULL,21000
Eastwick College-Nutley,Nutley,NJ,www.eastwickcollege.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,9500
Empire Beauty School-Jersey City,Jersey City,NJ,www.empire.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,9768.5
New Brunswick Theological Seminary,New Brunswick,NJ,www.nbts.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Robert Fiance Beauty Schools-West New York,West New York,NJ,www.robertfiance.com,21,0,0,NULL,NULL,NULL,NULL,NULL,9112
New Jersey Institute of Technology,Newark,NJ,www.njit.edu/,11,0,0,610,670,610,29,1168,21500
Ocean County College,Toms River,NJ,www.ocean.edu/,21,0,0,NULL,NULL,NULL,NULL,NULL,11000
P B Cosmetology Education Center,Gloucester,NJ,pbbeautyschool.com/,21,0,0,NULL,NULL,NULL,NULL,NULL,9266.5
Parisian Beauty School,Hackensack,NJ,www.parisianbeautyacademy.com,21,0,0,NULL,NULL,NULL,NULL,NULL,7667
Passaic County Community College,Paterson,NJ,www.pccc.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,7000
Pennco Tech-Blackwood,Blackwood,NJ,www.penncotech.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,9500
Princeton Theological Seminary,Princeton,NJ,www.ptsem.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Princeton University,Princeton,NJ,www.princeton.edu,21,0,0,800,800,800,35,1491,7500
Rabbinical College of America,Morristown,NJ,www.rca.edu/,21,1,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Ramapo College of New Jersey,Mahwah,NJ,www.ramapo.edu,21,0,0,590,610,590,26,1082,22500
Robert Fiance Beauty Schools-Perth Amboy,Perth Amboy,NJ,www.robertfiance.com,21,0,0,NULL,NULL,NULL,NULL,NULL,9459
Rider University,Lawrenceville,NJ,www.rider.edu,21,0,0,550,570,560,25,1026,26174
Roman Academy of Beauty Culture,Hawthorne,NJ,ROMANACADEMY.NET,21,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Rutgers University-Camden,Camden,NJ,www.rutgers.edu,13,0,0,560,570,560,NULL,1025,21745
Rutgers University-New Brunswick,New Brunswick,NJ,www.rutgers.edu/,13,0,0,640,700,660,NULL,1215,21745
Rutgers University-Newark,Newark,NJ,www.rutgers.edu,11,0,0,540,590,550,NULL,1035,21745
St Francis Medical Center-School of Radiologic Technology,Trenton,NJ,www.stfrancismedical.org/Education/School-of-Radiologic-Technology.aspx,13,0,0,NULL,NULL,NULL,NULL,NULL,NULL
Saint Francis Medical Center School of Nursing,Trenton,NJ,www.stfrancismedical.org/Education/School-of-Nursing.aspx,13,0,0,NULL,NULL,NULL,NULL,NULL,NULL
Saint Peter's University,Jersey City,NJ,www.saintpeters.edu,12,0,0,490,500,490,21,899,25000
Salem Community College,Carneys Point,NJ,www.salemcc.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,11000
Seton Hall University,South Orange,NJ,www.shu.edu,21,0,0,600,620,610,27,1133,25000
Atlantic Beauty & Spa Academy LLC,Egg Harbor Township,NJ,www.shorebeautyschool.com,22,0,0,NULL,NULL,NULL,NULL,NULL,9500
College of Saint Elizabeth,Morristown,NJ,www.cse.edu,21,0,1,470,465,488,NULL,843,23000
Raritan Valley Community College,Branchburg,NJ,www.raritanval.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,8625
Stevens Institute of Technology,Hoboken,NJ,www.stevens.edu,21,0,0,680,745,670,32,1346,27532.5
Stockton University,Galloway,NJ,www.stockton.edu,22,0,0,600,600,580,24,1078,21500
Talmudical Academy-New Jersey,Adelphia,NJ,NULL,21,1,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Teterboro School of Aeronautics,Teterboro,NJ,www.teterboroschool.com,21,0,0,NULL,NULL,NULL,NULL,NULL,12000
Thomas Edison State University,Trenton,NJ,www.tesc.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,9910
The College of New Jersey,Ewing,NJ,www.tcnj.edu,21,0,0,640,670,660,29,1213,23250
Sanford-Brown Institute-Iselin,Iselin,NJ,www.sanfordbrown.edu/iselin,21,0,0,NULL,NULL,NULL,NULL,NULL,9500
Union County College,Cranford,NJ,www.ucc.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,11575.5
William Paterson University of New Jersey,Wayne,NJ,www.wpunj.edu,21,0,0,530,540,NULL,NULL,980,25000
Olympian Academy of Cosmetology,Alamogordo,NM,www.olympianuniversity.com,33,0,0,NULL,NULL,NULL,NULL,NULL,11705
Central New Mexico Community College,Albuquerque,NM,www.cnm.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,10000
Navajo Technical University,Crownpoint,NM,www.navajotech.edu,43,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
