INSTNM,CITY,STABBR,INSTURL,LOCALE,MENONLY,WOMENONLY,SATVR75,SATMT75,SATWR75,ACTCM75,SAT_AVG,GRAD_DEBT_MDN
H Councill Trenholm State Community College,Montgomery,AL,www.trenholmstate.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Troy University,Troy,AL,www.troy.edu,41,0,0,NULL,NULL,NULL,26,1050,25000
Tuskegee University,Tuskegee,AL,www.tuskegee.edu,32,0,0,510,520,NULL,22,978,33500
United States Sports Academy,Daphne,AL,www.ussa.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Bevill State Community College,Jasper,AL,www.bscc.edu,32,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
University of Alaska Anchorage,Anchorage,AK,www.uaa.alaska.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,19449.5
Alaska Bible College,Palmer,AK,www.akbible.edu/,32,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
University of Alaska Fairbanks,Fairbanks,AK,www.uaf.edu,23,0,0,NULL,NULL,NULL,NULL,NULL,19355
University of Alaska Southeast,Juneau,AK,www.uas.alaska.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,16875
Alaska Pacific University,Anchorage,AK,www.alaskapacific.edu,11,0,0,610,555,560,25,1054,23250
AVTEC-Alaska's Institute of Technology,Seward,AK,www.avtec.edu/,43,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Charter College-Anchorage,Anchorage,AK,www.chartercollege.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,13875
Alaska Career College,Anchorage,AK,www.alaskacareercollege.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,8994
Everest College-Phoenix,Phoenix,AZ,www.everestcollegephoenix.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,9500
Collins College,Phoenix,AZ,www.collinscollege.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,47000
Empire Beauty School-Paradise Valley,Phoenix,AZ,www.empire.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,9588
Empire Beauty School-Tucson,Tucson,AZ,www.empire.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,9833
Thunderbird School of Global Management,Glendale,AZ,www.thunderbird.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
American Indian College Inc,Phoenix,AZ,www.aicag.edu/,11,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
American Institute of Technology,Phoenix,AZ,www.ait-schools.com,11,0,0,NULL,NULL,NULL,NULL,NULL,6135
Carrington College-Phoenix,Phoenix,AZ,www.carrington.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,9500
Carrington College-Mesa,Mesa,AZ,www.carrington.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,9500
Carrington College-Tucson,Tucson,AZ,www.carrington.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,9500
CollegeAmerica-Flagstaff,Flagstaff,AZ,www.collegeamerica.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,25607.5
Arizona Academy of Beauty-East,Tucson,AZ,www.arizonaacademy.com,11,0,0,NULL,NULL,NULL,NULL,NULL,5500
Arizona Automotive Institute,Glendale,AZ,www.aai.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,13000
Brookline College-Phoenix,Phoenix,AZ,www.brooklinecollege.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,9500
Arizona State University-Tempe,Tempe,AZ,www.asu.edu/,12,0,0,630,640,NULL,28,1145,20229
Arizona Western College,Yuma,AZ,www.azwestern.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,5500
University of Arizona,Tucson,AZ,www.arizona.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,19000
Southwest University of Visual Arts-Tucson,Tucson,AZ,www.suva.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,49750
Central Arizona College,Coolidge,AZ,www.centralaz.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,9993
Brown Mackie College-Tucson,Tucson,AZ,www.brownmackie.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,22141.5
Charles of Italy Beauty College,Lake Havasu City,AZ,www.charlesofitaly.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,7389
Cochise County Community College District,Douglas,AZ,www.cochise.edu,42,0,0,NULL,NULL,NULL,NULL,NULL,6500
Empire Beauty School-Flagstaff,Flagstaff,AZ,www.empire.edu,13,0,0,NULL,NULL,NULL,NULL,NULL,10050
Empire Beauty School-Chandler,Chandler,AZ,www.empire.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,10050
Cortiva Institute-Tucson,Tucson,AZ,www.cortiva.com/,11,0,0,NULL,NULL,NULL,NULL,NULL,6333
Avalon School of Cosmetology-Mesa,Mesa,AZ,avalon.edu/locations/mesa-az/,11,0,0,NULL,NULL,NULL,NULL,NULL,11458
Eastern Arizona College,Thatcher,AZ,www.eac.edu,33,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,www.erau.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,24411
Frank Lloyd Wright School of Architecture,Scottsdale,AZ,www.taliesin.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Glendale Community College,Glendale,AZ,www.gccaz.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,7000
Grand Canyon University,Phoenix,AZ,www.gcu.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,18750
International Academy of Hair Design,Tempe,AZ,www.intlacademyaz.com/,12,0,0,NULL,NULL,NULL,NULL,NULL,10556
GateWay Community College,Phoenix,AZ,www.gatewaycc.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,7283
Mesa Community College,Mesa,AZ,www.mesacc.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,8000
ITT Technical Institute-Tucson,Tucson,AZ,www.itt-tech.edu,21,0,0,NULL,NULL,NULL,NULL,NULL,25827.5
ITT Technical Institute-Tempe,Tempe,AZ,www.itt-tech.edu,12,0,0,NULL,NULL,NULL,NULL,NULL,25827.5
Mohave Community College,Kingman,AZ,www.mohave.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,13765
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,AZ,www.uti.edu/,11,0,0,NULL,NULL,NULL,NULL,NULL,18139
Dine College,Tsaile,AZ,www.dinecollege.edu,43,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Northern Arizona University,Flagstaff,AZ,nau.edu/,13,0,0,NULL,NULL,NULL,NULL,NULL,20500
Northland Pioneer College,Holbrook,AZ,www.npc.edu,41,0,0,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Ottawa University-Phoenix,Phoenix,AZ,www.ottawa.edu,11,0,0,NULL,NULL,NULL,NULL,NULL,22000
